step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_129989926_stopped,GS_129989926_accumulated_waiting_time,GS_129989926_average_speed,GS_1586370783_stopped,GS_1586370783_accumulated_waiting_time,GS_1586370783_average_speed,GS_1608392196_stopped,GS_1608392196_accumulated_waiting_time,GS_1608392196_average_speed,GS_27452412_stopped,GS_27452412_accumulated_waiting_time,GS_27452412_average_speed,GS_34945961_stopped,GS_34945961_accumulated_waiting_time,GS_34945961_average_speed,GS_cluster_1600202209_3482369648_5531696392_stopped,GS_cluster_1600202209_3482369648_5531696392_accumulated_waiting_time,GS_cluster_1600202209_3482369648_5531696392_average_speed,GS_cluster_27028543_5183760624_stopped,GS_cluster_27028543_5183760624_accumulated_waiting_time,GS_cluster_27028543_5183760624_average_speed,GS_cluster_5080753537_9652255873_stopped,GS_cluster_5080753537_9652255873_accumulated_waiting_time,GS_cluster_5080753537_9652255873_average_speed,GS_cluster_5183520274_75213080_stopped,GS_cluster_5183520274_75213080_accumulated_waiting_time,GS_cluster_5183520274_75213080_average_speed,cluster_13190056281_1388545508_1481512755_1588996967_#1more_stopped,cluster_13190056281_1388545508_1481512755_1588996967_#1more_accumulated_waiting_time,cluster_13190056281_1388545508_1481512755_1588996967_#1more_average_speed,cluster_13190056293_13190056294_13190056295_153517090_#6more_stopped,cluster_13190056293_13190056294_13190056295_153517090_#6more_accumulated_waiting_time,cluster_13190056293_13190056294_13190056295_153517090_#6more_average_speed,joinedG_1374424275_1701114250_27557273_27557357_stopped,joinedG_1374424275_1701114250_27557273_27557357_accumulated_waiting_time,joinedG_1374424275_1701114250_27557273_27557357_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,3,0,1,0,3,0,0.0,0.0,3.7701622667996006,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,6.419732607554776,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,8,0,1,0,8,0,0.0,0.0,6.9932518327332325,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,0.0
20.0,10,0,0,0,10,0,0.0,0.0,6.915998329326248,0,0.0,1.0,0,0.0,0.6615226004849486,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6421370439917891,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.024296281249332724,0,0.0
25.0,13,0,2,0,13,0,5.0,0.38461538461538464,7.4581594166440075,0,0.0,1.0,0,0.0,0.8895584066730613,0,0.0,0.9742830486140146,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.48643237993651606,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,4.467949761070491e-05,1,5.0
30.0,15,0,4,0,15,0,15.0,1.0,5.28574599295001,0,0.0,1.0,1,1.0,0.4208504858109923,1,1.0,0.0015120469116940876,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.000447100197888759,0,0.0,0.28432919458193573,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,4,15.0
35.0,17,1,5,0,17,0,39.0,2.2941176470588234,5.393444358935842,0,0.0,1.0,1,6.0,0.47011043354899257,1,6.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,1,4.0,2.7470895100090097e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,15.0,0.0,5,39.0
40.0,20,0,5,0,20,0,56.0,2.8,5.148153406538134,0,0.0,1.0,1,11.0,0.025426816337277235,2,12.0,0.0009928101402968726,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,20.0,0.0,5,56.0
45.0,23,0,7,0,23,0,85.0,3.6956521739130435,5.996556876288026,0,0.0,1.0,2,20.0,5.0513834219725236e-05,2,22.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,18.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,25.0,0.0,6,85.0
50.0,25,0,7,0,25,0,116.0,4.64,5.991854740378094,0,0.0,0.9006046202744046,2,30.0,0.0,2,32.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6520162818125612,1,23.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,30.0,0.2426409534107553,6,115.0
55.0,28,0,7,0,28,0,145.0,5.178571428571429,6.277478893899726,0,0.0,0.8885377086017985,2,41.0,0.285376086607899,2,42.0,0.0,0,0.0,1.0,0,0.0,0.9240962420264015,0,0.0,1.0,1,28.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,35.0,0.455754805875554,6,146.0
60.0,29,0,5,1,30,0,142.0,4.896551724137931,5.9173042358278165,0,0.0,0.9777909947586614,2,51.0,0.29459622825396153,2,52.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.15008102670795165,1,40.0,0.005552011769402693,5,143.0
65.0,32,0,7,1,33,0,172.0,5.375,7.463744388601583,0,0.0,0.9054804276618627,2,61.0,0.24583830283358435,2,62.0,0.31916887570024627,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8727919219973019,2,50.0,0.0,6,173.0
70.0,33,0,8,2,35,0,205.0,6.212121212121212,6.9636454129280025,1,1.0,0.002322421747827378,3,73.0,0.0002492684157883044,2,72.0,0.028734275968727015,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8983925471932506,2,60.0,0.0,8,206.0
75.0,35,0,9,3,38,0,194.0,5.542857142857143,6.033985481277192,1,6.0,0.20128899379806578,3,88.0,0.0,3,88.0,0.24430298450373036,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3019237807550291,1,15.0,0.0,8,197.0
