step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
74,49,0,24,1,50,0,347.0,7.081632653061225,3.53580670084433
75,50,0,26,1,51,0,372.0,7.44,3.3417539710619097
76,49,0,26,2,51,0,398.0,8.122448979591837,3.301465790926591
77,50,0,29,2,52,0,426.0,8.52,3.2487936517682927
78,51,0,30,2,53,0,455.0,8.92156862745098,3.0015280768988384
79,51,0,28,2,53,0,479.0,9.392156862745098,2.848651775799423
80,52,0,30,2,54,0,508.0,9.76923076923077,2.70589486603109
81,53,0,32,2,55,0,539.0,10.169811320754716,2.4928560277770506
82,53,0,32,2,55,0,571.0,10.773584905660377,2.3940686841340493
83,54,0,34,2,56,0,604.0,11.185185185185185,2.297105439012702
84,55,0,37,2,57,0,640.0,11.636363636363637,2.2418479834057163
85,55,0,37,2,57,0,677.0,12.309090909090909,2.0956777258346087
86,56,0,40,2,58,0,716.0,12.785714285714286,2.056457766909491
87,57,0,41,2,59,0,756.0,13.263157894736842,2.0919567740817966
88,57,0,41,2,59,0,797.0,13.982456140350877,2.058618225224473
89,58,0,42,2,60,0,838.0,14.448275862068966,1.9572460085879628
90,59,0,10,2,61,0,228.0,3.864406779661017,2.999890415616835
91,59,0,4,2,61,0,110.0,1.8644067796610169,4.174820686388512
92,60,0,8,2,62,0,117.0,1.95,5.160868024273875
93,61,0,9,2,63,0,125.0,2.0491803278688523,6.329628833290778
94,61,0,8,2,63,0,132.0,2.1639344262295084,7.399014252796362
95,62,0,9,2,64,0,140.0,2.2580645161290325,7.8508875802584095
96,63,0,9,2,65,0,148.0,2.3492063492063493,8.189622993786895
97,63,0,9,2,65,0,157.0,2.492063492063492,8.216373453604284
98,64,0,10,2,66,0,166.0,2.59375,7.879800948124993
99,65,0,11,2,67,0,176.0,2.707692307692308,7.525783107566886
100,65,0,12,2,67,0,188.0,2.8923076923076922,7.313242642362501
101,66,0,14,2,68,0,201.0,3.0454545454545454,7.068617794324437
102,67,0,13,2,69,0,212.0,3.1641791044776117,6.676153555907167
103,67,0,16,2,69,0,228.0,3.4029850746268657,6.51203028309911
104,67,0,19,3,70,0,246.0,3.671641791044776,6.171977853702786
105,68,0,21,3,71,0,266.0,3.911764705882353,5.954115898354413
106,68,0,22,3,71,0,288.0,4.235294117647059,5.8067216908459605
107,69,0,26,3,72,0,313.0,4.536231884057971,5.612585017179059
108,69,0,26,4,73,0,338.0,4.898550724637682,5.332276667460186
109,69,0,25,4,73,0,363.0,5.260869565217392,5.178174577851348
110,70,0,29,4,74,0,391.0,5.585714285714285,5.120422537828918
111,71,0,29,4,75,0,358.0,5.042253521126761,5.121581541159495
112,71,0,28,4,75,0,331.0,4.661971830985915,5.159110850218751
113,72,0,28,4,76,0,355.0,4.930555555555555,5.1152348987400496
114,73,0,29,4,77,0,383.0,5.2465753424657535,5.0811165927846265
115,73,0,28,4,77,0,411.0,5.63013698630137,5.146482419119795
